sentence,label
excuse me,3
yeah,3
is there a problem,3
well what is the problem let me change it,3
that is out of control,0
clearly you know do you have like a supervisor or something,3
i do not understand why this is so complicated for people when they get here it is just a simple form i just need an id,0
yeah do you want to see my supervisor huh yeah do you want to see my supervisor fine i will be right back,0
did you get the mail so you saw my letter,2
yeah i know,2
i do not know i put in that request too they didn t,2
i guess you know everybody has to make sacrifices,3
there is people that have given more though you know,2
i know,2
there is babies over there though that need mothers,3
just you know kicking myself,2
things just are not what they seem,2
if not me then who,2
you will videotape everything yeah,2
maybe you can send it to me like stream it yeah,2
last month yeah,2
i have to find sitters,3
we have got friends that is why we moved here huh because there is a day care down the street,2
and your mother is close by,3
i will send you lots of letters,2
and i want lots and lots and lots of pictures,2
i do not understand you have already done so much i do not know why do you have to go back,2
i do not know how you can be okay with this i do not know why you are not you are fine with it,2
i just do not see why it has to be you,2
what am i going to do huh,2
yeah,2
do not you guys have access to computers over there,3
i just do not know how i am going to do it without you,2
i cannot raise a baby by myself how,2
i know,3
well vegas was awesome,1
and um i got married,1
yeah in the old town part,1
um yes it was very romantic,1
it was at the slot machines,1
uhuh uhuh he won big and he and he realized that the only thing that would make it better was me as his bride,1
yeah well you know because he is leaving the next day,1
but we are going to have a honeymoon cruise,1
oh i had not even thought about that,1
oh totally,1
i guess i ll i guess i will have an internet husband laughter,1
yeah so laughter he is calling me now,1
he likes to keep tabs you know,1
uh i think seven hundred and fifty dollars,3
penny slots that is what he plays,3
yeah,3
yeah we played wheel of fortune pennies it is like a giant thing with like,1
fifty bucks mmhmm,3
yeah,3
well so now we are married we have cat children,1
we renamed brenda lumber janet,1
she needs a new name each state that we go into laughter,1
so what is up what is new,3
yeah i heard,3
who did you marry,1
he turned to you and was like,3
laughter that is really romantic,1
yeah,3
does that mean that you are going to get citizenship too in in england or whatever,3
yeah but he will have like a long visa can you go visit then for a long time,3
like you need another one of those laughter,1
is that your phone,1
he loves you,1
how much did he win at the slot,3
i am a big fan of the wheel of fortune quarters but it just costs so much i do not know,3
but the pennies always get you because you end up spending like you know fifty bucks,3
like wait but it is just pennies you are like wait a minute i am on to you,3
awesome,1
laughter cat babies,1
that is fair enough,3
uh what craig s list oh the internet thing,3
i do not know is not that that is all like escort services and things like that,3
he just,3
you know what i heard about that job i applied for that,3
yeah,3
i just i mean i call people up and i tell them what i am good at,3
yeah,3
i am not frustrated,0
who do you think you are,0
you are so high and mighty i just,0
oh i am saving the environment i am riding this car because i i want to,0
the bus i am riding the bus because i want to,0
i can not you are not here by choice nobody would ride this bus by choice,0
have you tried uh craig s list,3
yeah,3
no there is regular jobs on there,3
uh huh,3
i am just saying i have a friend that got a good job on it so i was just recommending it,3
he is like a manager for a theatre,3
he is like a house manager yeah it is a good job,3
you did,3
yeah,3
you have been looking for a job for a long time that was a long time ago right,3
hmm,3
i do not know he had a really good resume i guess and,3
yeah do you have a resume,3
it is kind of helpful when getting a job,3
well maybe we should sit down some time and you can just tell me all the stuff that you have done and i will write it out,3
no you can or you can just bring it in person but they need generally something to see you know what kind of what that you have done what kind of,3
yeah but the piece of paper helps too,3
no but it has an outline you know,3
i know okay well um maybe,3
yeah,3
okay yeah i would imagine,3
well sometimes you have to do things that you do not necessarily like to do to have a job but the job affords you money you will not have to be taking the bus right now,3
maybe get a car,3
i just you know think you should try a little harder maybe,3
i did not say that,3
i am riding the bus but by choice,3
to save the environment carpool,3
yes one less car at a time,3
mmhmm,3
i do not think i am anyone,3
i i i didn t okay,3
flight seven fourteen,0
am i going to be getting like free tickets free mileage when can i expect my bag here,0
is this a joke,0
are there candid cameras is this that movie there is that show right airplane airline,0
you are kidding me this is a joke,0
do you have any idea fifty dollars that is supposed to replace everything that i have do you understand how much i have packed in there not only does it have sentimental value it cannot be replaced like that it was incredibly expensive,0
we flew in from paris i have been shopping for three weeks,0
i do not care what you are freaking sign says somebody somebody needs to replace everything i have got there and give me money for my inconvenience,0
do you understand who my husband is,0
if you re if you re if you are looking for a lawsuit baby you have found it,0
oh oh it is a gift you re you re helping me out here,0
you are cruising for a bruising you are in so much trouble,0
who is in charge who is the president of jet blue,0
because i probably know him,0
yeah,0
i do not want money i want my clothes,0
what is your name,0
okay i will do that,0
i do not think you have done everything you could do because i do not have my bag here yet,0
a letter i will make a personal phone call,0
hi thanks for waiting,3
can i help you,1
uh huh,1
okay,3
okay,3
okay great i am really sorry that you had to do that what is your last name let us start there,3
okay,3
all right okay and you lost your bag is that that the issue,3
uh huh,3
yeah yeah i do not see i do not see any,3
i do not see any record of it and i usually when i do not see a record of it that means um,3
we have mistakenly lost your baggage we are very sorry on behalf of jet blue i would like to apologize for any inconvenience i am allowed to issue you a fifty dollar gift card which you can use any future flights you want to take with us i am very sorry once again,3
for such an inconvenience and your bag but,3
yeah,3
no no,3
no no this is real,3
no i am just giving you money the bag is gone if it is not here i am really sorry there is nothing i can do because,3
this is the only track record that we have and if it is not listed here then it is probably not anywhere,3
yes,3
i know,3
okay calm,3
actually we are not necessarily liable to give you to even give you this fifty dollars so it is actually it is actually really,3
we are actually not even allowed you know like we do not have to give you this fifty dollars we do not have to do that,3
it is a gift,3
you know the airlines can not be held responsible for every bag of luggage that comes through here,3
with the amount of,3
um actually i do not know i do not know oh really,3
well then maybe you can just call him and he can give you more money but right now all i can do,3
right now all i can do is just give you this fifty dollars i am really sorry,3
oh my name is sean hi,3
if you want you can write a letter i can give you the address yes an angry,3
or you can make a phone call but i think a letter might be a little more in my impression letters have more,3
no,2
that is sweet,3
thank you,3
i went to see her headstone a week or two ago,2
i used to go to cemeteries a lot before she died i just you know i felt like they were urban oasis you know there is always this green in the city,2
so i was like wandering around before it takes forever to find her headstone i always lose it you know,2
so i was looking at this other one and there was like a piece of candy there and i thought that i would take the candy and put it on her headstone and,2
this woman came up and you know it was hers it was her person that was there,3
yeah and she was like that is pathetic i hope you enjoy it,2
and i you know i mean i said i was sorry and i brought it back to her kind of and i like put it on the ground and she was like no it is fine she was like i would rather have her back honestly,2
i do not know it just like i felt so bad because i should not have done it i do not know whatever,2
i do not know,2
at the cemetery,2
couple hours,2
i brought i brought chuck with me he went to redlands yeah for the day we ran through the sprinklers,3
yeah it is huge redlands is an old city so they have lots and lots of stones,3
yeah,3
it is weird whenever i go back to town i think of her i mean it is like i mean we grew up together and she died when we were twenty one and yeah she had cancer she had two brain tumors,2
my best friend heather she is got a we have a we built this like little there is a park prospect park and there is like a garden section of it that we set up for her,2
she used to have these poetry parties on memorial day,2
umm yeah,2
and the last time before she died i remember she could not really stand umm,2
but i mean she could but it was so it was kind of sitting at her feet holding her up and she had these poems she had memorized and i remember looking up she had curly red hair and there was this palm tree right behind her and it was like a crown growing right out of her head it was cool,2
some i guess she memorized this one john dunn it is called death be not proud and,2
there is another one i cannot remember,3
i remember too when we were she died at u c l a she had brain surgery and there was not much hope to begin with but i gave blood for her surgery her mom and i before so we dropped her off in the waiting room and then we were giving blood and came back and she in her wheelchair like can hardly do anything reciting her poetry for these people like in the waiting room all she needs is a god damn audience you know,2
i am sorry joy,2
is there anything i can get you do you want me to take care of anything for you or,3
pick up anything,3
you know you are welcome to stay at my house if you want to just check out for a couple days and hang out,2
hmm,3
oh she was there,3
mmhmm,3
yeah,2
how long were you there for,3
mmhmm,3
oh really,3
you ran through the sprinklers in the cemetery,3
is it a big cemetery,3
oh so they are like really old too really old ones,3
mmhmm,3
mmhmm,3
so she wrote a lot of poetry,3
yes there is a big envelope it says you are in i know,1
i am really excited yeah i do not know how i am going to pay for anything but i also yeah loans too yeah i applied though for a bunch of grants and scholarships so i am still waiting to hear on that,1
oh i know i know i know i know,1
i do not know i spend so much time commuting as it is i would rather,1
i know we should throw a party,1
yeah i am not sure,1
umm p h d laughter,1
so i get to mold young minds mrs that is my mother,1
i would be like oh right right right,1
i know i made such a mess of it the entire time the last three things i have done i have ruined everything i think mm hmm yeah,1
did you get the letter,1
yeah that is so awesome,1
oh my god what are you going to do laughter,1
oh yeah i bet you are really excited oh that is what loans are for right exactly,1
oh good good that is awesome are you going to stay around here or are you going to like get a different neighborhood you going to move to a different neighborhood,1
this is so i am so happy that you are going to stay you are not going to we should totally throw a party,1
a rapper party ho yeah okay,1
i am just yeah i am sticking around i am just doing my thing i am living here i am so glad you are going to stay i am so glad you are going to be here yeah woo,1
yeah big time,1
mmhmm mmhmm yay so what major what are you doing,1
is this a masters or a p h d or can you nice,3
that is good do not you have to like teach a class too when you do that,3
teacher mrs nash i have a question,1
you have to get married well you are married to chuck you are mrs nash not to be confused with mrs dash which is the popular seasoning,1
yay school s fun,1
of course right that is where the real money is being a student,3
that is how you get the big bucks are you messing with the chair do not ruin it,1
he is dreaming of him again walking around,3
well i got an idea but what is your story,3
just give it some more thought,3
what the hell is this,0
you have a business here what the hell is this,0
oh must you be inspired,0
all right but you do not want to think like that because what the hell are we working for chris it is all for you this whole shooting match is for you,0
just do not think like that,0
he saw it,3
he was out here when it broke,3
four o clock this morning i heard a crack and i woke up and looked out he was standing right over there when it cracked,3
i do not know,3
i guess he is,3
you know larry is not coming back and i know it why do we allow him to go on thinking that we believe with him,3
we have got to say it to him,3
sit down mom i want to talk to you,3
you know,3
i am going to ask her to marry me,3
you know it is not just my business,3
so all right then i will just go ahead with it,3
you know sometimes you infuriate me you know that is not it your business if i tell father and he throws a fit about it god you have such a talent for ignoring things,0
i wanted to get this settled first,3
well if she does then that is it that is the end of it from her letters though i think she is pretty much forgotten him,3
and then we will thrash it out with father okay mom do not avoid me,3
i will get out i will get married and i will move somewhere else maybe new york,3
on this i would,3
then help me stay here,3
he is not going to marry her,0
it is got that about it,0
what is going on here joe,0
she is not his girl she knows she is not,0
then why is she still single new york is full of men why is she still single probably a hundred people told her she is foolish but she waited,0
because she knows what i know that is why she is faithful as a rock in my darkest moments i think of her waiting and i know that i am right,0
nobody in this house dares take away her faith joe you know strangers might but not his father not his brother,0
i want you to i want you to act like he is coming back both of you do not think i have not noticed you since chris invited her here,0
i will not stand for any nonsense,0
because if he is not coming back i will kill myself oh laugh laugh all you like but why does this happen the very night he comes back she goes to sleep in his room and his memorial breaks in pieces look at it joe look,0
just believe with me joe only last week a man came back in detroit missing longer than larry believe with me you above all have got to believe just believe,0
well maybe maybe he just wanted to see her,3
how do you know he is even thinking about it,3
how do you know why she waited,3
what have i got to hide what the hell is the matter with you kate,0
you are the only one who still loves his parents,3
it is not so bad it is a good thing,3
breathing you know it is lovely here the air is sweet,3
i am not sorry no but i m i cannot stay,3
for one thing your mother much as told me to go,3
and then you you have been kind of,3
sort of embarrassed ever since i got here,3
i knew they would,3
